"Sample","Cultivar","Sex","Day","Batch","Treatment"
"Sample1","c1","xx","0","a","ctrl"
"Sample2","c1","xx","0","a","ctrl"
"Sample3","c1","xx","0","a","ctrl"
"Sample4","c2","xx","0","a","ctrl"
"Sample5","c2","xx","0","a","ctrl"
"Sample6","c2","xx","0","a","ctrl"
"Sample7","c1","xy","0","a","ctrl"
"Sample8","c1","xy","0","a","ctrl"
"Sample9","c1","xy","0","a","ctrl"
"Sample10","c2","xy","0","a","ctrl"
"Sample11","c2","xy","0","a","ctrl"
"Sample12","c2","xy","0","a","ctrl"
"Sample13","c1","xx","1","a","ctrl"
"Sample14","c1","xx","1","a","ctrl"
"Sample15","c1","xx","1","a","ctrl"
"Sample16","c2","xx","1","a","ctrl"
"Sample17","c2","xx","1","a","ctrl"
"Sample18","c2","xx","1","a","ctrl"
"Sample19","c1","xy","1","a","treat1"
"Sample20","c1","xy","1","a","treat1"
"Sample21","c1","xy","1","a","treat1"
"Sample22","c2","xy","1","a","treat1"
"Sample23","c2","xy","1","a","treat1"
"Sample24","c2","xy","1","a","treat1"
"Sample25","c1","xx","0","b","ctrl"
"Sample26","c1","xx","0","b","ctrl"
"Sample27","c1","xx","0","b","ctrl"
"Sample28","c2","xx","0","b","ctrl"
"Sample29","c2","xx","0","b","ctrl"
"Sample30","c2","xx","0","b","ctrl"
"Sample31","c1","xy","0","b","ctrl"
"Sample32","c1","xy","0","b","ctrl"
"Sample33","c1","xy","0","b","ctrl"
"Sample34","c2","xy","0","b","ctrl"
"Sample35","c2","xy","0","b","ctrl"
"Sample36","c2","xy","0","b","ctrl"
"Sample37","c1","xx","1","b","treat2"
"Sample38","c1","xx","1","b","treat2"
"Sample39","c1","xx","1","b","treat2"
"Sample40","c2","xx","1","b","treat2"
"Sample41","c2","xx","1","b","treat2"
"Sample42","c2","xx","1","b","treat2"
"Sample43","c1","xy","1","b","ctrl"
"Sample44","c1","xy","1","b","ctrl"
"Sample45","c1","xy","1","b","ctrl"
"Sample46","c2","xy","1","b","ctrl"
"Sample47","c2","xy","1","b","ctrl"
"Sample48","c2","xy","1","b","ctrl"
